trackid,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label,genre
2XekwxBHiKkHkpDphAyYeM,0.657,0.958,-8.414,0.0381,0.454,0.965,0.0916,0.509,130.057,electronic dance music,Electro
4XGyifnRty1FI3qQe8bhet,0.686,0.694,-9.108,0.0337,0.0111,0.146,0.0439,0.583,126.981,electronic dance music,Dance
2beor6qrB0XJxW1CM6X9x2,0.75,0.931,-5.166,0.0464,0.00168,0.284,0.249,0.472,140.151,electronic dance music,Electro
3b4eSYwYviyzCgKldJQ8RD,0.632,0.785,-4.681,0.0747,0.0766,0.000171,0.104,0.323,123.999,electronic dance music,Pop
0KbZTlBZwKx3hZWvqkzXju,0.494,0.834,-4.104,0.0361,0.00345,0.754,0.0934,0.158,174.026,electronic dance music,Dance
5qWaWFg6JUgjJgDE8ogiza,0.586,0.788,-7.426,0.0463,0.00553,1.87e-05,0.356,0.0978,127.88,electronic dance music,Pop
7ccR1xYA2JC3KXwgQxeGHY,0.614,0.697,-8.262,0.0297,0.00288,0.914,0.0905,0.109,120.74,electronic dance music,Dance
1PDC6q1wrvsFYeUpee6ygN,0.723,0.646,-7.013,0.0455,0.0106,0.0,0.124,0.355,106.061,electronic dance music,Electro
65G7XDGcybJiGywSCXJiL5,0.593,0.914,-5.351,0.0363,0.00137,0.445,0.0714,0.0381,128.015,electronic dance music,Alternative
1vBcD3cWLt0zOEJGzRGkXN,0.703,0.783,-5.733,0.04,0.0266,0.00264,0.104,0.362,120.053,electronic dance music,Electro
6Htqsoq5u7Z4a8hqWfMRXY,0.784,0.802,-3.673,0.0666,0.214,0.023,0.445,0.522,124.941,electronic dance music,Electro
0HjjAdRagmVo0tVcDaRWb1,0.799,0.916,-6.97,0.0787,0.0178,0.887,0.0557,0.0972,133.004,electronic dance music,Electro
1EHgCTp5LuW5Rlt7IruwCf,0.694,0.715,-9.325,0.0788,0.000802,0.553,0.175,0.509,125.008,electronic dance music,Dance
7dQzUfO7TDFzVVCpfJhueL,0.743,0.523,-10.813,0.0451,0.000182,0.0164,0.0847,0.679,126.003,electronic dance music,Dance
780BVi1nSAeuAYM1zPvC6t,0.751,0.92,-2.904,0.0826,0.0498,1.77e-05,0.0875,0.668,126.99,electronic dance music,Electro
6lfgGUNr568QOieq9dAero,0.515,0.9,-7.843,0.059,0.195,0.904,0.599,0.557,133.822,electronic dance music,Electro
4JZK8VQlQ23JYMMC2SikVJ,0.822,0.625,-12.161,0.0469,0.0261,0.0577,0.363,0.75,119.979,electronic dance music,Dance
57Y3UccJEJqT8w8RWkUAz0,0.887,0.904,-5.107,0.0703,0.079,0.0101,0.0165,0.89,107.955,electronic dance music,Electro
4xZax8srPgsXV2mpMerqEk,0.68,0.95,-4.595,0.182,0.00203,0.538,0.552,0.14,134.982,electronic dance music,Dance
4O0BIpBDfmeZfiDt8f44s0,0.818,0.879,-4.816,0.0756,0.00467,0.00106,0.352,0.54,126.01,electronic dance music,Electro
6hKi0TR2wj6L9kyTLgfgFz,0.715,0.879,-4.632,0.368,0.0166,0.0,0.0968,0.302,134.97,electronic dance music,Dance
66WaaK3Tg67FWgJlgfl8dE,0.528,0.793,-8.716,0.0807,0.000752,0.641,0.0539,0.223,75.453,electronic dance music,Pop
301wxdM7YkshLfSSmd1doJ,0.527,0.863,-4.186,0.0365,0.184,0.0,0.486,0.15,124.921,electronic dance music,Electro
1EgWUCNI4BYSDx95b8P27m,0.726,0.785,-4.428,0.0268,0.049,0.00105,0.109,0.157,120.999,electronic dance music,Electro
5i031qRPARQfMlBFJi6heN,0.646,0.865,-5.88,0.109,0.0248,0.00548,0.0727,0.475,128.001,electronic dance music,Electro
4DBLAy03Xk88LOVtrOQ1RD,0.588,0.8,-7.875,0.0377,0.00782,0.000819,0.289,0.263,124.001,electronic dance music,Electro
25usEf5iGk9HL0LM9VTxue,0.786,0.75,-6.277,0.102,0.0742,0.0277,0.109,0.696,124.032,electronic dance music,Electro
6K96iePtHzcOJ1AhsBlFAN,0.679,0.717,-6.262,0.033,0.0103,0.000151,0.169,0.196,125.968,electronic dance music,Dance
5h9LH9pKBhyVpLTLQTfC78,0.576,0.901,-5.488,0.0351,0.000175,0.902,0.337,0.553,122.001,electronic dance music,Dance
1FgA182jfvx03LUPiCGrdu,0.739,0.487,-12.082,0.0698,0.646,0.806,0.106,0.224,152.401,electronic dance music,Pop
1i1fxkWeaMmKEB4T7zqbzK,0.532,0.869,-5.094,0.172,0.157,0.00508,0.136,0.422,159.803,electronic dance music,Dance
22zxLxXlXrBIm7XaazHNrg,0.422,0.711,-4.809,0.0385,0.0176,0.0,0.559,0.321,128.066,electronic dance music,Dance
6gMA2DG6Z8GGoZ16Y66xW0,0.878,0.768,-6.157,0.0475,0.00162,0.833,0.0843,0.172,126.023,electronic dance music,Electro
35tqKg7rzhiqS6dL3LfOki,0.662,0.731,-5.167,0.0631,0.39,0.0375,0.0894,0.236,130.041,electronic dance music,Dance
1qDtkuTYjPCAtErp1tyD5i,0.658,0.948,-3.803,0.122,0.0863,0.0,0.0292,0.452,128.019,electronic dance music,Dance
1kAiS5hIRZFwaj1B5jkqIK,0.675,0.8,-5.418,0.0981,0.0412,0.0,0.141,0.549,105.028,electronic dance music,Electro
5EusSY4T6PkI0k8HJ1XKfQ,0.803,0.856,-6.747,0.0633,8.94e-05,0.862,0.632,0.796,127.008,electronic dance music,Electro
1ikFBUSSMcFZOdSF5G6jWX,0.362,0.826,-7.721,0.161,0.0035,0.000462,0.201,0.264,127.058,electronic dance music,Alternative
5dS2dvXVPe7AR6UwBpnomW,0.587,0.92,-4.697,0.0914,0.0936,0.073,0.185,0.35,126.035,electronic dance music,Electro
5Jexi1HLaIwtCh8D8xaWPo,0.779,0.778,-4.309,0.0684,0.0916,0.000114,0.0478,0.572,128.012,electronic dance music,Dance
6bDtvABVNIOgPH0BVby2Uq,0.845,0.71,-6.222,0.0591,0.166,0.000171,0.301,0.231,124.001,electronic dance music,Dance
